,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,AQI,kfold
28922,89.26,132.06,14.71,32.3,36.87,0.89,7.28,22.0,231.0,4
28923,116.35,116.14,3.57,2.84,11.14,1.05,7.99,29.83,179.0,4
28924,35.26,735.36,7.49,7.76,6.78,0.0,2.3333333333333335,9.68,85.66666666666667,4
28925,43.54,67.61,23.46,36.0,8.42,0.29,8.42,31.24,73.0,4
28926,40.36666666666667,92.3,7.53,8.47,6.56,0.27,22.19,50.94,114.0,4
28927,117.54,284.65,8.68,5.76,6.06,2.66,60.14333333333334,6.22,308.0,4
28928,66.54,46.623333333333335,3.93,13.26,9.25,0.0,2.74,68.4,111.0,4
28929,11.6,48.04,24.42,11.89,6.75,0.44,7.21,13.87,72.0,4
28930,32.94,96.04,12.11,26.49,15.77,0.79,6.84,18.26,73.0,4
28931,101.22,211.78,54.75,43.42,14.17,0.76,13.57,19.68,228.0,4
28932,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
28933,71.73,159.49,34.49,47.58,20.88,1.51,12.63,38.64,184.0,4
28934,37.22,84.04,5.0,22.49,11.06,0.59,5.34,23.74,84.0,4
28935,120.96,76.37666666666668,4.23,20.86,9.413333333333334,4.23,35.54,35.66,303.0,4
28936,21.71,76.47,3.9,27.85,12.02,0.71,15.43,68.42,88.0,4
28937,15.52,41.94,6.5,16.03,20.52,0.83,7.49,22.36,52.0,4
28938,74.65,41.49,4.94,7.78,3.02,0.85,2.59,23.41,135.0,4
28939,36.14,60.54,7.77,18.42,11.37,0.95,10.59,51.13,68.0,4
28940,197.94,43.583333333333336,23.47,29.47,28.223333333333333,2.26,8.29,9.33,359.0,4
28941,84.64,125.0,4.02,26.98,14.41,0.18,9.84,112.41,168.0,4
28942,129.5,394.06,9.77,5.05,6.13,3.31,60.60333333333333,8.79,322.0,4
28943,47.47333333333333,129.45,8.18,9.11,6.8,0.34,111.18,30.39,114.0,4
28944,46.85,126.7,14.03,29.49,39.38,1.09,9.86,32.47,122.0,4
28945,11.98,103.34,22.54,37.86,16.1,0.95,19.13,67.74,135.0,4
28946,165.85,208.73666666666668,33.98,57.9,23.23,2.05,7.94,16.44,326.0,4
28947,56.97,65.28333333333333,4.3,11.07,8.42,0.44,4.64,13.89,91.0,4
28948,25.12,52.01,1.52,4.71,7.88,0.25,22.1,43.19,61.0,4
28949,25.98,27.64,11.07,15.0,7.26,1.88,10.53,24.85,101.0,4
28950,50.22,95.03,5.37,9.25,10.42,0.79,7.02,41.45,115.0,4
28951,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
